tab_name,tab_desc,var,var_desc,module,series,is_comment,is_weight
dr1tot_e,Total Nutrients -- First Day,SEQN,Respondent sequence number,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,WTDRD1,Dietary day one sample weight,Dietary,2007-2008,0,1
dr1tot_e,Total Nutrients -- First Day,WTDR2D,Dietary two-day sample weight,Dietary,2007-2008,0,1
dr1tot_e,Total Nutrients -- First Day,DR1DRSTZ,Dietary recall status,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1EXMER,Interviewer ID code,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRABF,Breast-fed infant (either day),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRDINT,Number of days of intake,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1DBIH,# of days b/w intake and HH interview,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1DAY,Intake day of the week,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1LANG,Language respondent used mostly,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1MNRSP,Main respondent for this interview,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1HELPD,Helped in responding for this interview,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DBQ095Z,Type of table salt used,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DBD100,How often add salt to food at table,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRQSPREP,Salt used in preparation?,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRQSDIET,On special diet?,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRQSDT1,Weight loss/Low calorie diet,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRQSDT2,Low fat/Low cholesterol diet,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRQSDT3,Low salt/Low sodium diet,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRQSDT4,Sugar free/Low sugar diet,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRQSDT5,Low fiber diet,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRQSDT6,High fiber diet,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRQSDT7,Diabetic diet,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRQSDT8,Weight gain/Muscle building diet,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRQSDT9,Low carbohydrate diet,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRQSDT10,High protein diet,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRQSDT91,Other special diet,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TNUMF,Number of foods reported,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TKCAL,Energy (kcal),Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DR1TPROT,Protein (gm),Dietary,2007-2008,0,0
