Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
SEQN,Respondent sequence number.,ARX_F,Arthritis Body Measures,2009,2010,Examination,None
ARDEXSTS,ARTHRITIS BODY MEASURES EXAMINATION STATUS,ARX_F,Arthritis Body Measures,2009,2010,Examination,None
ARXO2WD,OCCIPUT-TO-WALL DISTANCE IN CENTIMETERS,ARX_F,Arthritis Body Measures,2009,2010,Examination,None
ARIO2WD,OCCIPUT-TO-WALL DISTANCE COMMENT,ARX_F,Arthritis Body Measures,2009,2010,Examination,None
ARXCCIN,"CHEST CIRCUMFERENCE MEASUREMENT, INSPIRATION (CENTIMETERS)",ARX_F,Arthritis Body Measures,2009,2010,Examination,None
ARICCIN,"CHEST CIRCUMFERENCE, INSPIRATION COMMENT",ARX_F,Arthritis Body Measures,2009,2010,Examination,None
ARXCCEX,"CHEST CIRCUMFERENCE MEASUREMENT, EXHALATION (CENTIMETERS)",ARX_F,Arthritis Body Measures,2009,2010,Examination,None
ARICCEX,"CHEST CIRCUMFERENCE, EXHALATION COMMENT",ARX_F,Arthritis Body Measures,2009,2010,Examination,None
ARDDINEX,"MEASURED DIFFERENCE IN CHEST CIRCUMFERENCE, INSPIRATION MINUS EXHALATION (IN CM)",ARX_F,Arthritis Body Measures,2009,2010,Examination,None
ARXXDIST,DISTANCE BETWEEN CHEST CIRCUMFERENCE MEASUREMENT LANDMARKS (CENTIMETERS),ARX_F,Arthritis Body Measures,2009,2010,Examination,None
ARIXDIST,DISTANCE BETWEEN CHEST CIRCUMFERENCE MEASUREMENT LANDMARKS COMMENT,ARX_F,Arthritis Body Measures,2009,2010,Examination,None
ARDLFTL,THE DISTANCE IN CM BETWEEN THE TWO INDICATOR MARKS PLACED ON THE LOWER BACK WHEN THE EXAMINEE BENDS FORWARD IN FLEXION MINUS 10 CM (10 CM IS THE BASELINE DISTANCE BETWEEN THE INDICATOR MARKS WHEN THE EXAMINEE  STANDS UPRIGHT),ARX_F,Arthritis Body Measures,2009,2010,Examination,None
ARILFTL,LUMBAR FLEXION TEST LENGTH COMMENT,ARX_F,Arthritis Body Measures,2009,2010,Examination,None
SEQN,Respondent sequence number.,AUX1,Audiometry,1999,2000,Examination,None
WTSAU2YR,Audiometry Subsample 2 Year Mec Weight,AUX1,Audiometry,1999,2000,Examination,None
WTSAU4YR,Audiometry Subsample 4 Year Mec Weight,AUX1,Audiometry,1999,2000,Examination,None
WTSAU01,Audiometry Mec Weight Jack Knife Rep 1,AUX1,Audiometry,1999,2000,Examination,None
WTSAU02,Audiometry Mec Weight Jack Knife Rep 2,AUX1,Audiometry,1999,2000,Examination,None
WTSAU03,Audiometry Mec Weight Jack Knife Rep 3,AUX1,Audiometry,1999,2000,Examination,None
