Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
DBD100,How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table?  Would you say . . .,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DBQ095Z,What type of salt {do you/does SP} usually add to {your/his/her/SP's} food at the table?  Would you say . . .,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1_300,"Was the amount of food that {you/NAME} ate yesterday much more than usual, usual, or much less than usual?",DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1_320Z,"Total plain water drank yesterday - including plain tap water, water from a drinking fountain, water from a water cooler, bottled water, and spring water.",DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1_330Z,Total tap water drank yesterday - including filtered tap water and water from a drinking fountain.,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1BWATZ,Total bottled water drank yesterday (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1DAY,Intake day of the week,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1DBIH,Number of days between intake day and the day of family questionnaire administered in the household.,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1DRSTZ,Dietary recall status,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1EXMER,Interviewer ID code,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1HELP,Who helped in responding for this interview,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1LANG,The respondent spoke mostly:,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1MRESP,Who was the main respondent for this interview?,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1SKY,"What type of salt was it? (Was it ordinary or seasoned salt, lite salt, or a salt substitute?)",DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1STY,"Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary or seasoned salt, lite salt, or a salt substitute.",DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TACAR,Alpha-carotene (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TALCO,Alcohol (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TATOA,Added alpha-tocopherol (Vitamin E) (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TATOC,Vitamin E as alpha-tocopherol (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TB12A,Added vitamin B12 (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TBCAR,Beta-carotene (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TCAFF,Caffeine (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TCALC,Calcium (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TCARB,Carbohydrate (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TCHL,Total choline (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TCHOL,Cholesterol (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TCOPP,Copper (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TCRYP,Beta-cryptoxanthin (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TFA,Folic acid (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TFDFE,Folate as dietary folate equivalents (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TFF,Food folate (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TFIBE,Dietary fiber (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TFOLA,Total folate (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TIRON,Iron (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TKCAL,Energy (kcal),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TLYCO,Lycopene (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TLZ,Lutein + zeaxanthin (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TM161,MFA 16:1 (Hexadecenoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TM181,MFA 18:1 (Octadecenoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TM201,MFA 20:1 (Eicosenoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TM221,MFA 22:1 (Docosenoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TMAGN,Magnesium (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TMFAT,Total monounsaturated fatty acids (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TMOIS,Moisture (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TNIAC,Niacin (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TNUMF,Total number of foods/beverages reported in the individual foods file,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TP182,PFA 18:2 (Octadecadienoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TP183,PFA 18:3 (Octadecatrienoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TP184,PFA 18:4 (Octadecatetraenoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TP204,PFA 20:4 (Eicosatetraenoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TP205,PFA 20:5 (Eicosapentaenoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TP225,PFA 22:5 (Docosapentaenoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TP226,PFA 22:6 (Docosahexaenoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TPFAT,Total polyunsaturated fatty acids (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TPHOS,Phosphorus (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TPOTA,Potassium (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TPROT,Protein (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TRET,Retinol (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TS040,SFA 4:0 (Butanoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TS060,SFA 6:0 (Hexanoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TS080,SFA 8:0 (Octanoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TS100,SFA 10:0 (Decanoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TS120,SFA 12:0 (Dodecanoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TS140,SFA 14:0 (Tetradecanoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TS160,SFA 16:0 (Hexadecanoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TS180,SFA 18:0 (Octadecanoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TSELE,Selenium (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TSFAT,Total saturated fatty acids (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TSODI,Sodium (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TSUGR,Total sugars (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TTFAT,Total fat (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TTHEO,Theobromine (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TVARA,Vitamin A as retinol activity equivalents (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TVB1,Thiamin (Vitamin B1) (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TVB12,Vitamin B12 (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TVB2,Riboflavin (Vitamin B2) (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TVB6,Vitamin B6 (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TVC,Vitamin C (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TVD,Vitamin D (D2 + D3) (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TVK,Vitamin K (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TWS,"When you drink tap water, what is the main source of the tap water? Is the city water supply (community water supply); a well or rain cistern; a spring; or something else?",DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DR1TZINC,Zinc (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRABF,Indicates whether the sample person was an infant who was breast-fed on either of the two recall days.,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD340,"Please look at this list of shellfish. During the past 30 days did you eat any types of shellfish listed on this card? Include any foods that had shellfish in them such as sandwiches, soups, or salads.",DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350A,Clams eaten during past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350AQ,Number of times clams were eaten in the past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350B,Crabs eaten during past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350BQ,Number of times crab was eaten in the past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350C,Crayfish eaten during past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350CQ,Number of times crayfish was eaten in the past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350D,Lobsters eaten during past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350DQ,Number of times lobster was eaten in the past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350E,Mussels eaten during past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350EQ,Number of times mussels were eaten in the past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350F,Oysters eaten during past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350FQ,Number of times oysters were eaten in the past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350G,Scallops eaten during the past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350GQ,Number of times scallops were eaten in the past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350H,Shrimp eaten during past 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350HQ,Number of times shrimp was eaten in the last 30 days,DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
DRD350I,"Other shellfish ( ex. octopus, squid) eaten during past 30 days",DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None
