Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
BPAARM,Arm selected:,BPX_I,Blood Pressure,2015,2016,Examination,None
BPACSZ,Cuff size (cm) (width X length),BPX_I,Blood Pressure,2015,2016,Examination,None
BPAEN1,Enhancement used first reading,BPX_I,Blood Pressure,2015,2016,Examination,None
BPAEN2,Enhancement used second reading,BPX_I,Blood Pressure,2015,2016,Examination,None
BPAEN3,Enhancement used third reading,BPX_I,Blood Pressure,2015,2016,Examination,None
BPAEN4,Enhancement used fourth reading,BPX_I,Blood Pressure,2015,2016,Examination,None
BPXCHR,60 sec HR (30 sec HR * 2),BPX_I,Blood Pressure,2015,2016,Examination,None
BPXDI1,Diastolic:  Blood pressure (first reading) mm Hg,BPX_I,Blood Pressure,2015,2016,Examination,None
BPXDI2,Diastolic: Blood pressure (second reading) mm Hg,BPX_I,Blood Pressure,2015,2016,Examination,None
BPXDI3,Diastolic: Blood pressure (third reading) mm Hg,BPX_I,Blood Pressure,2015,2016,Examination,None
BPXDI4,Diastolic: Blood pressure (fourth reading if necessary) mm Hg,BPX_I,Blood Pressure,2015,2016,Examination,None
BPXML1,MIL: maximum inflation levels (mm Hg),BPX_I,Blood Pressure,2015,2016,Examination,None
BPXPLS,60 sec. pulse (30 sec. pulse * 2),BPX_I,Blood Pressure,2015,2016,Examination,None
BPXPTY,Pulse type,BPX_I,Blood Pressure,2015,2016,Examination,None
BPXPULS,Pulse regular or irregular?,BPX_I,Blood Pressure,2015,2016,Examination,None
BPXSY1,Systolic:  Blood pressure (first reading) mm Hg,BPX_I,Blood Pressure,2015,2016,Examination,None
BPXSY2,Systolic:  Blood pressure (second reading) mm Hg,BPX_I,Blood Pressure,2015,2016,Examination,None
BPXSY3,Systolic:  Blood pressure (third reading) mm Hg,BPX_I,Blood Pressure,2015,2016,Examination,None
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_I,Blood Pressure,2015,2016,Examination,None
PEASCCT1,Blood Pressure Comment,BPX_I,Blood Pressure,2015,2016,Examination,None
SEQN,Respondent sequence number.,BPX_I,Blood Pressure,2015,2016,Examination,None
BMDAVSAD,Average Sagittal Abdominal Diameter (cm),BMX_I,Body Measures,2015,2016,Examination,None
BMDBMIC,BMI Category - Children/Youth,BMX_I,Body Measures,2015,2016,Examination,None
BMDSADCM,Sagittal Abdominal Diameter Comment,BMX_I,Body Measures,2015,2016,Examination,None
BMDSTATS,Body Measures Component status Code,BMX_I,Body Measures,2015,2016,Examination,None
BMIARMC,Arm Circumference Comment,BMX_I,Body Measures,2015,2016,Examination,None
BMIARML,Upper Arm Length Comment,BMX_I,Body Measures,2015,2016,Examination,None
BMIHEAD,Head Circumference Comment,BMX_I,Body Measures,2015,2016,Examination,None
BMIHT,Standing Height Comment,BMX_I,Body Measures,2015,2016,Examination,None
BMILEG,Upper Leg Length Comment,BMX_I,Body Measures,2015,2016,Examination,None
BMIRECUM,Recumbent Length Comment,BMX_I,Body Measures,2015,2016,Examination,None
BMIWAIST,Waist Circumference Comment,BMX_I,Body Measures,2015,2016,Examination,None
BMIWT,Weight Comment,BMX_I,Body Measures,2015,2016,Examination,None
BMXARMC,Arm Circumference (cm),BMX_I,Body Measures,2015,2016,Examination,None
BMXARML,Upper Arm Length (cm),BMX_I,Body Measures,2015,2016,Examination,None
BMXBMI,Body Mass Index (kg/m**2),BMX_I,Body Measures,2015,2016,Examination,None
BMXHEAD,Head Circumference (cm),BMX_I,Body Measures,2015,2016,Examination,None
BMXHT,Standing Height (cm),BMX_I,Body Measures,2015,2016,Examination,None
BMXLEG,Upper Leg Length (cm),BMX_I,Body Measures,2015,2016,Examination,None
BMXRECUM,Recumbent Length (cm),BMX_I,Body Measures,2015,2016,Examination,None
BMXSAD1,Sagittal Abdominal Diameter 1st (cm),BMX_I,Body Measures,2015,2016,Examination,None
BMXSAD2,Sagittal Abdominal Diameter 2nd (cm),BMX_I,Body Measures,2015,2016,Examination,None
BMXSAD3,Sagittal Abdominal Diameter 3rd (cm),BMX_I,Body Measures,2015,2016,Examination,None
BMXSAD4,Sagittal Abdominal Diameter 4th (cm),BMX_I,Body Measures,2015,2016,Examination,None
BMXWAIST,Waist Circumference (cm),BMX_I,Body Measures,2015,2016,Examination,None
BMXWT,Weight (kg),BMX_I,Body Measures,2015,2016,Examination,None
SEQN,Respondent sequence number.,BMX_I,Body Measures,2015,2016,Examination,None
OHDDESTS,Dentition Status Code,OHXDEN_I,Oral Health - Dentition,2015,2016,Examination,None
OHDEXSTS,Overall Oral Health Exam Status,OHXDEN_I,Oral Health - Dentition,2015,2016,Examination,None
OHX01TC,Tooth Count:  Upper right 3rd molar (3M),OHXDEN_I,Oral Health - Dentition,2015,2016,Examination,None
OHX02CSC,"Coronal Caries:  Upper right 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_I,Oral Health - Dentition,2015,2016,Examination,None
OHX02CTC,Coronal Caries:  Upper right 2nd molar (2M) tooth code,OHXDEN_I,Oral Health - Dentition,2015,2016,Examination,None
OHX02SE,"Dental Sealants:  Upper right 2nd molar (2M) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",OHXDEN_I,Oral Health - Dentition,2015,2016,Examination,None
OHX02TC,Tooth Count:  Upper right 2nd molar (2M),OHXDEN_I,Oral Health - Dentition,2015,2016,Examination,None
OHX03CSC,"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",OHXDEN_I,Oral Health - Dentition,2015,2016,Examination,None
OHX03CTC,Coronal Caries:  Upper right 1st molar (1M) tooth code,OHXDEN_I,Oral Health - Dentition,2015,2016,Examination,None
OHX03SE,"Dental Sealants:  Upper right 1st molar (1M) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",OHXDEN_I,Oral Health - Dentition,2015,2016,Examination,None
OHX03TC,Tooth Count:  Upper right 1st molar (1M),OHXDEN_I,Oral Health - Dentition,2015,2016,Examination,None
