Data File Name,Doc File,Data File,Date Published
Albumin & Creatinine - Urine,ALB_CR_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/ALB_CR_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/ALB_CR_I.htm),ALB_CR_I Data [XPT - 539.8 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/ALB_CR_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/ALB_CR_I.XPT),Sep-17
Aromatic Diamines - Urine,UADM_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UADM_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UADM_I.htm),UADM_I Data [XPT - 309.8 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UADM_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UADM_I.XPT),Oct-18
Arsenic - Total - Urine - Special Sample (Subsample),UTASS_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UTASS_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UTASS_I.htm),UTASS_I Data [XPT - 58.9 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UTASS_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UTASS_I.XPT),Jun-18
Arsenic - Total - Urine (Subsample),UTAS_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UTAS_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UTAS_I.htm),UTAS_I Data [XPT - 78 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UTAS_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UTAS_I.XPT),Jun-18
"Blood Lead, Cadmium, Total Mercury, Selenium, and Manganese",PBCD_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/PBCD_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/PBCD_I.htm),PBCD_I Data [XPT - 775.4 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/PBCD_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/PBCD_I.XPT),Jan-18
"Blood mercury: inorganic, ethyl and methyl",IHGEM_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/IHGEM_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/IHGEM_I.htm),IHGEM_I Data [XPT - 410.9 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/IHGEM_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/IHGEM_I.XPT),Jun-18
Chlamydia - Urine,CHLMDA_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CHLMDA_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CHLMDA_I.htm),CHLMDA_I Data [XPT - 34.2 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CHLMDA_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CHLMDA_I.XPT),Dec-17
Cholesterol - High-Density Lipoprotein (HDL),HDL_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HDL_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HDL_I.htm),HDL_I Data [XPT - 189.2 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HDL_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HDL_I.XPT),Sep-17
Cholesterol - Total,TCHOL_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TCHOL_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TCHOL_I.htm),TCHOL_I Data [XPT - 189.2 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TCHOL_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TCHOL_I.XPT),Sep-17
Chromium & Cobalt,CRCO_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CRCO_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CRCO_I.htm),CRCO_I Data [XPT - 199.1 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CRCO_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CRCO_I.XPT),Sep-17
Complete Blood Count with 5-Part Differential - Whole Blood,CBC_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CBC_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CBC_I.htm),CBC_I Data [XPT - 1.5 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CBC_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/CBC_I.XPT),Sep-17
Fasting Questionnaire,FASTQX_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/FASTQX_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/FASTQX_I.htm),FASTQX_I Data [XPT - 1.3 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/FASTQX_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/FASTQX_I.XPT),Sep-17
Fluoride - Plasma,FLDEP_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/FLDEP_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/FLDEP_I.htm),FLDEP_I Data [XPT - 40.9 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/FLDEP_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/FLDEP_I.XPT),Sep-17
Fluoride - Water,FLDEW_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/FLDEW_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/FLDEW_I.htm),FLDEW_I Data [XPT - 64.6 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/FLDEW_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/FLDEW_I.XPT),Sep-17
Glycohemoglobin,GHB_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/GHB_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/GHB_I.htm),GHB_I Data [XPT - 106.4 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/GHB_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/GHB_I.XPT),Sep-17
Hepatitis A,HEPA_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPA_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPA_I.htm),HEPA_I Data [XPT - 139.9 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPA_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPA_I.XPT),Sep-17
