"tab_name","tab_desc","series","module","var","var_desc","comment_var","is_weight","is_comment","is_questionnaire","tab_desc_ewas","var_desc_ewas","analyzable","is_ecological","is_binary","is_ordinal","var_desc_ewas_sub"
"phyto_d","Phytoestrogens","2005-2006","laboratory","WTSB2YR","Environmental B 2 year weights",NA,1,0,0,"phytoestrogens","phytoestrogens",0,0,0,0,NA
"phyto_d","Phytoestrogens","2005-2006","laboratory","URXDAZ","Daidzein (ng/mL)","URDDAZLC",0,0,0,"phytoestrogens","phytoestrogens",1,0,0,0,NA
"phyto_d","Phytoestrogens","2005-2006","laboratory","URDDAZLC","Daidzein comment code",NA,0,1,0,"phytoestrogens","phytoestrogens",0,0,0,0,NA
"phyto_d","Phytoestrogens","2005-2006","laboratory","URXDMA","O-Desmethylangolensin (O-DMA) (ng/mL)","URDDMALC",0,0,0,"phytoestrogens","phytoestrogens",1,0,0,0,NA
"phyto_d","Phytoestrogens","2005-2006","laboratory","URDDMALC","O-DMA comment code",NA,0,1,0,"phytoestrogens","phytoestrogens",0,0,0,0,NA
"phyto_d","Phytoestrogens","2005-2006","laboratory","URXEQU","Equol (ng/mL)","URDEQULC",0,0,0,"phytoestrogens","phytoestrogens",1,0,0,0,NA
"phyto_d","Phytoestrogens","2005-2006","laboratory","URDEQULC","Equol comment code",NA,0,1,0,"phytoestrogens","phytoestrogens",0,0,0,0,NA
"phyto_d","Phytoestrogens","2005-2006","laboratory","URXETD","Enterodiol (ng/mL)","URDETDLC",0,0,0,"phytoestrogens","phytoestrogens",1,0,0,0,NA
"phyto_d","Phytoestrogens","2005-2006","laboratory","URDETDLC","Enterodiol comment code",NA,0,1,0,"phytoestrogens","phytoestrogens",0,0,0,0,NA
"phyto_d","Phytoestrogens","2005-2006","laboratory","URXETL","Enterolactone (ng/mL)","URDETLLC",0,0,0,"phytoestrogens","phytoestrogens",1,0,0,0,NA
"phyto_d","Phytoestrogens","2005-2006","laboratory","URDETLLC","Enterolactone comment code",NA,0,1,0,"phytoestrogens","phytoestrogens",0,0,0,0,NA
"phyto_d","Phytoestrogens","2005-2006","laboratory","URXGNS","Genistein (ng/mL)","URDGNSLC",0,0,0,"phytoestrogens","phytoestrogens",1,0,0,0,NA
"phyto_d","Phytoestrogens","2005-2006","laboratory","URDGNSLC","Genistein comment code",NA,0,1,0,"phytoestrogens","phytoestrogens",0,0,0,0,NA
"phyto_d","Phytoestrogens","2005-2006","laboratory","URXUCR","Creatinine, urine (mg/dL)",NA,0,0,0,"phytoestrogens","phytoestrogens",1,0,0,0,NA
