tab_name,tab_desc,var,var_desc,module,series,is_comment,is_weight
upp_d,Urinary Priority Pesticides,SEQN,Respondent sequence number,laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,WTSC2YR,Environmental C 2 year weights,laboratory,2005-2006,0,1
upp_d,Urinary Priority Pesticides,URXBSM,Bensulfuron methyl (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDBSMLC,Bensulfuron methyl comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXCHS,Chlorsulfuron (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDCHSLC,Chlorsulfuron comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXEMM,Ethametsulfuron methyl (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDEMMLC,Ethametsulfuron methyl comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXFRM,Foramsulfuron (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDFRMLC,Foramsulfuron comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXHLS,Halosulfuron (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDHLSLC,Halosulfuron comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXMSM,Mesosulfuron methyl (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDMSMLC,Mesosulfuron methyl comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXMTM,Metsulfuron methyl (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDMTMLC,Metsulfuron methyl comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXNOS,Nicosulfuron (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDNOSLC,Nicosulfuron comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXOXS,Oxasulfuron (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDOXSLC,Oxasulfuron comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXPIM,Primisulfuron methyl (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDPIMLC,Primisulfuron methyl comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXPRO,Prosulfuron (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDPROLC,Prosulfuron comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXRIM,Rimsulfuron (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDRIMLC,Rimsulfuron comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXSMM,Sulfometuron methyl (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDSMMLC,Sulfometuron methyl comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXSSF,Sulfosulfuron (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDSSFLC,Sulfosulfuron comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXTHF,Thifensulfuron methyl (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDTHFLC,Thifensulfuron methyl comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXTRA,Triasulfuron (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDTRALC,Triasulfuron comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXTRN,Triflusulfuron methyl (ug/L),laboratory,2005-2006,0,0
upp_d,Urinary Priority Pesticides,URDTRNLC,Triflusulfuron methyl comment code,laboratory,2005-2006,1,0
upp_d,Urinary Priority Pesticides,URXUCR,"Creatinine, urine (mg/dL)",laboratory,2005-2006,0,0
