Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
SEQN,Respondent sequence number.,CDEMO_AD,California - Demographic Variables & Sample Weights,1999,2006,Demographics,RDC Only
RIDSTATR,Interview and examination status of the participant.,CDEMO_AD,California - Demographic Variables & Sample Weights,1999,2006,Demographics,RDC Only
RIAGENDR,Gender of the participant.,CDEMO_AD,California - Demographic Variables & Sample Weights,1999,2006,Demographics,RDC Only
RIDAGEYR,Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.,CDEMO_AD,California - Demographic Variables & Sample Weights,1999,2006,Demographics,RDC Only
RIDAGEMN,Age in months of the participant at the time of screening. Individuals aged 959 months and older are topcoded at 959 months.,CDEMO_AD,California - Demographic Variables & Sample Weights,1999,2006,Demographics,RDC Only
RIDAGEEX,Age in years of the participant at the time of examination. Individuals aged 959 months and older are topcoded at 959 months.,CDEMO_AD,California - Demographic Variables & Sample Weights,1999,2006,Demographics,RDC Only
RIDRETH1,Recode of reported race and Hispanic origin information,CDEMO_AD,California - Demographic Variables & Sample Weights,1999,2006,Demographics,RDC Only
DMDBORN,In what country {were you/was SP} born?,CDEMO_AD,California - Demographic Variables & Sample Weights,1999,2006,Demographics,RDC Only
DMDCITZN,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],CDEMO_AD,California - Demographic Variables & Sample Weights,1999,2006,Demographics,RDC Only
DMDYRSUS,Length of time the participant has been in the US.,CDEMO_AD,California - Demographic Variables & Sample Weights,1999,2006,Demographics,RDC Only
DMDEDUC3,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,CDEMO_AD,California - Demographic Variables & Sample Weights,1999,2006,Demographics,RDC Only
DMDEDUC2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,CDEMO_AD,California - Demographic Variables & Sample Weights,1999,2006,Demographics,RDC Only
DMDMARTL,Marital status,CDEMO_AD,California - Demographic Variables & Sample Weights,1999,2006,Demographics,RDC Only
